model,scaler,cv,best_params,best_score,model_path
svm,robust,shuffle,"{'model__C': 10, 'model__loss': 'squared_hinge', 'model__penalty': 'l2'}",0.97761549452294,../experiments/models-tunned/svm_robust_shuffle_best.joblib
knn,standard,kfold,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9988886548382172,../experiments/models-tunned/knn_standard_kfold_best.joblib
knn,standard,stratified_kfold,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9988648405893585,../experiments/models-tunned/knn_standard_stratified_kfold_best.joblib
knn,standard,timeseries,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.998428197189807,../experiments/models-tunned/knn_standard_timeseries_best.joblib
knn,standard,shuffle,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9988728369582474,../experiments/models-tunned/knn_standard_shuffle_best.joblib
knn,minmax,kfold,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9987457658792025,../experiments/models-tunned/knn_minmax_kfold_best.joblib
knn,minmax,stratified_kfold,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9987457658792025,../experiments/models-tunned/knn_minmax_stratified_kfold_best.joblib
knn,minmax,timeseries,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9981709930935937,../experiments/models-tunned/knn_minmax_timeseries_best.joblib
knn,minmax,shuffle,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.998904588029846,../experiments/models-tunned/knn_minmax_shuffle_best.joblib
knn,robust,kfold,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9939114008928343,../experiments/models-tunned/knn_robust_kfold_best.joblib
knn,robust,stratified_kfold,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9939352151416931,../experiments/models-tunned/knn_robust_stratified_kfold_best.joblib
knn,robust,timeseries,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9927506549178376,../experiments/models-tunned/knn_robust_timeseries_best.joblib
knn,robust,shuffle,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9939990474678521,../experiments/models-tunned/knn_robust_shuffle_best.joblib
